2025-09-10 00:00:16: (server.c.1230) [note] graceful shutdown started
2025-09-10 00:00:16: (server.c.2350) server stopped by UID = 0 PID = 853759
received HUP, spawning a new worker
starting new worker 853765
[INFO] raised RLIMIT_NOFILE to 65536
h2o server (pid:853765) is ready to serve requests
2025-09-10 00:00:16: (server.c.1939) server started (lighttpd/1.4.74)
new worker is now running, sending TERM to old workers:3752857
killing old workers
received SIGTERM, gracefully shutting down
old worker 3752857 died, status:0
:::h2o Wed Sep 10 12:00:18 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:00:21 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:00:24 AM EDT 2025:::
:::h2o Wed Sep 10 12:00:27 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:00:30 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:00:33 AM EDT 2025:::
:::h2o Wed Sep 10 12:00:36 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:00:39 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:00:42 AM EDT 2025:::
:::h2o Wed Sep 10 12:00:45 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:00:48 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:00:51 AM EDT 2025:::
:::h2o Wed Sep 10 12:00:54 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:00:57 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:01:00 AM EDT 2025:::
:::h2o Wed Sep 10 12:01:03 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:01:06 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:01:10 AM EDT 2025:::
:::h2o Wed Sep 10 12:01:13 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:01:16 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:01:19 AM EDT 2025:::
:::h2o Wed Sep 10 12:01:22 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:01:25 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:01:28 AM EDT 2025:::
:::h2o Wed Sep 10 12:01:31 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:01:34 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:01:37 AM EDT 2025:::
:::h2o Wed Sep 10 12:01:40 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:01:43 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:01:46 AM EDT 2025:::
:::h2o Wed Sep 10 12:01:49 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:01:52 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:01:55 AM EDT 2025:::
:::h2o Wed Sep 10 12:01:58 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:02:01 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:02:04 AM EDT 2025:::
:::h2o Wed Sep 10 12:02:07 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:02:10 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:02:13 AM EDT 2025:::
:::h2o Wed Sep 10 12:02:16 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:02:20 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:02:23 AM EDT 2025:::
:::h2o Wed Sep 10 12:02:26 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:02:29 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:02:32 AM EDT 2025:::
:::h2o Wed Sep 10 12:02:35 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:02:38 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:02:41 AM EDT 2025:::
:::h2o Wed Sep 10 12:02:44 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:02:47 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:02:50 AM EDT 2025:::
:::h2o Wed Sep 10 12:02:53 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:02:56 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:02:59 AM EDT 2025:::
:::h2o Wed Sep 10 12:03:02 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:03:05 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:03:08 AM EDT 2025:::
:::h2o Wed Sep 10 12:03:11 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:03:14 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:03:17 AM EDT 2025:::
:::h2o Wed Sep 10 12:03:20 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:03:23 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:03:26 AM EDT 2025:::
:::h2o Wed Sep 10 12:03:30 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:03:33 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:03:36 AM EDT 2025:::
:::h2o Wed Sep 10 12:03:39 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:03:42 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:03:45 AM EDT 2025:::
:::h2o Wed Sep 10 12:03:48 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:03:51 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:03:54 AM EDT 2025:::
:::h2o Wed Sep 10 12:03:57 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:04:00 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:04:03 AM EDT 2025:::
:::h2o Wed Sep 10 12:04:06 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:04:09 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:04:12 AM EDT 2025:::
:::h2o Wed Sep 10 12:04:15 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:04:18 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:04:21 AM EDT 2025:::
:::h2o Wed Sep 10 12:04:24 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:04:27 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:04:30 AM EDT 2025:::
:::h2o Wed Sep 10 12:04:33 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:04:36 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:04:39 AM EDT 2025:::
:::h2o Wed Sep 10 12:04:43 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:04:46 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:04:49 AM EDT 2025:::
:::h2o Wed Sep 10 12:04:52 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:04:55 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:04:58 AM EDT 2025:::
:::h2o Wed Sep 10 12:05:01 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:05:04 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:05:07 AM EDT 2025:::
:::h2o Wed Sep 10 12:05:10 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:05:13 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:05:16 AM EDT 2025:::
:::h2o Wed Sep 10 12:05:19 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:05:22 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:05:25 AM EDT 2025:::
:::h2o Wed Sep 10 12:05:28 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:05:31 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:05:34 AM EDT 2025:::
:::h2o Wed Sep 10 12:05:37 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:05:40 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:05:43 AM EDT 2025:::
:::h2o Wed Sep 10 12:05:46 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:05:50 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:05:53 AM EDT 2025:::
:::h2o Wed Sep 10 12:05:56 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:05:59 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:06:02 AM EDT 2025:::
:::h2o Wed Sep 10 12:06:05 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:06:08 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:06:11 AM EDT 2025:::
:::h2o Wed Sep 10 12:06:14 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:06:17 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:06:20 AM EDT 2025:::
:::h2o Wed Sep 10 12:06:23 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:06:26 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:06:29 AM EDT 2025:::
:::h2o Wed Sep 10 12:06:32 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:06:35 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:06:38 AM EDT 2025:::
:::h2o Wed Sep 10 12:06:41 AM EDT 2025:::
:::Apache2 Wed Sep 10 12:06:44 AM EDT 2025:::
:::Lighttpd Wed Sep 10 12:06:47 AM EDT 2025:::
:::h2o Wed Sep 10 12:06:50 AM EDT 2025:::
